source_frame_index,frame_index,timestamp_seconds,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y
0,0,0.0,1,0,pedestrian,0.6850156188011169,502.3194580078125,696.1441650390625,531.5521240234375,789.842529296875,516.935791015625,742.9933471679688
0,0,0.0,2,0,pedestrian,0.6846975684165955,1598.62744140625,665.8116455078125,1633.54443359375,758.95751953125,1616.0859375,712.3845825195312
0,0,0.0,3,3,truck,0.6024037003517151,800.1668701171875,453.66278076171875,916.530029296875,586.9036254882812,858.3484497070312,520.283203125
0,0,0.0,4,1,car,0.5500825643539429,835.45556640625,587.1621704101562,918.97509765625,670.3495483398438,877.21533203125,628.755859375
0,0,0.0,5,4,bus,0.3852921724319458,1086.161376953125,670.901123046875,1645.985595703125,1079.00390625,1366.073486328125,874.9525146484375
0,0,0.0,6,0,pedestrian,0.35792848467826843,462.19659423828125,685.5286254882812,492.09588623046875,786.4812622070312,477.146240234375,736.0049438476562
0,0,0.0,7,0,pedestrian,0.35711851716041565,552.3822631835938,593.1702270507812,572.1066284179688,653.9760131835938,562.2444458007812,623.5731201171875
0,0,0.0,8,3,truck,0.3504102826118469,1065.5670166015625,543.3279418945312,1155.8289794921875,637.9275512695312,1110.697998046875,590.6277465820312
0,0,0.0,9,3,truck,0.3204094469547272,907.4136352539062,452.7265625,953.0783081054688,516.5244140625,930.2459716796875,484.62548828125
0,0,0.0,10,0,pedestrian,0.2784683108329773,1063.3685302734375,545.4437255859375,1085.5250244140625,592.5472412109375,1074.44677734375,568.9954833984375
0,0,0.0,11,2,van,0.25323545932769775,835.45556640625,587.1621704101562,918.97509765625,670.3495483398438,877.21533203125,628.755859375
0,0,0.0,12,0,pedestrian,0.2528507113456726,215.33885192871094,685.4390869140625,250.3801727294922,763.6663818359375,232.85951232910156,724.552734375
1,1,0.041666666666666664,1,0,pedestrian,0.5641124844551086,500.9860534667969,696.0330200195312,530.1396484375,789.3051147460938,515.5628509521484,742.6690673828125
1,1,0.041666666666666664,2,0,pedestrian,0.6578584313392639,1599.2291259765625,666.6295776367188,1634.0946044921875,760.8148193359375,1616.661865234375,713.7221984863281
1,1,0.041666666666666664,3,3,truck,0.6491572260856628,800.0546875,455.3846740722656,915.4721069335938,585.33251953125,857.7633972167969,520.3585968017578
1,1,0.041666666666666664,4,1,car,0.5333666801452637,834.6151123046875,586.1931762695312,917.0177612304688,669.0747680664062,875.8164367675781,627.6339721679688
1,1,0.041666666666666664,6,0,pedestrian,0.39592352509498596,461.1024169921875,686.8764038085938,491.2487487792969,787.5631713867188,476.1755828857422,737.2197875976562
1,1,0.041666666666666664,7,0,pedestrian,0.4556385278701782,550.3590087890625,593.4380493164062,570.6815185546875,657.66162109375,560.520263671875,625.5498352050781
1,1,0.041666666666666664,8,3,truck,0.29081952571868896,1063.173828125,543.738525390625,1153.6170654296875,637.6380615234375,1108.3954467773438,590.6882934570312
1,1,0.041666666666666664,11,2,van,0.259285032749176,834.6151123046875,586.1931762695312,917.0177612304688,669.0747680664062,875.8164367675781,627.6339721679688
1,1,0.041666666666666664,12,0,pedestrian,0.38088223338127136,213.64593505859375,685.6585083007812,247.3556671142578,762.3002319335938,230.50080108642578,723.9793701171875
2,2,0.08333333333333333,1,0,pedestrian,0.46858444809913635,499.50494384765625,693.5142822265625,528.2818603515625,785.6993408203125,513.8934020996094,739.6068115234375
2,2,0.08333333333333333,2,0,pedestrian,0.7339453101158142,1599.8310546875,666.4120483398438,1634.7569580078125,761.122802734375,1617.2940063476562,713.7674255371094
