image_name,true_index,class_id,class_name,source_category,source_line,x1,y1,x2,y2,area_px2,size,occlusion,occlusion_name,truncation,truncation_name,matched,matched_pred_index,matched_confidence,matched_iou
0000001_02999_d_0000005.jpg,0,1,car,4,1,871.0,571.9999999999999,925.0,664.0,4968.000000000006,medium,0,none,0,not_truncated,True,3,0.8799266219139099,0.9318652749061584
0000001_02999_d_0000005.jpg,1,1,car,4,2,947.9999999999999,592.0,1009.9999999999999,684.0000000000001,5704.000000000007,medium,0,none,0,not_truncated,True,1,0.9200465083122253,0.956393837928772
0000001_02999_d_0000005.jpg,2,1,car,4,3,874.0,705.0,941.0,815.0,7370.0,medium,1,partial,0,not_truncated,True,2,0.901399552822113,0.8443284630775452
0000001_02999_d_0000005.jpg,3,0,pedestrian,1,7,447.0,1054.0,473.99999999999994,1080.0,701.9999999999985,small,0,none,1,truncated,False,,,
0000001_02999_d_0000005.jpg,4,0,pedestrian,1,8,430.0,902.0000000000001,457.0,951.0,1322.9999999999968,medium,1,partial,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,5,0,pedestrian,1,38,580.0,451.00000000000006,597.0000000000001,488.0,629.0000000000032,small,1,partial,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,6,1,car,4,50,608.0,362.0,706.0,411.00000000000006,4802.0000000000055,medium,1,partial,0,not_truncated,True,0,0.924675703048706,0.955816924571991
0000001_02999_d_0000005.jpg,7,0,pedestrian,1,52,618.0,215.0,629.0,245.0,330.0,small,0,none,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,8,0,pedestrian,1,53,634.9999999999999,213.00000000000003,649.0,244.0,434.0000000000031,small,1,partial,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,9,1,car,4,58,579.0,73.99999999999999,614.0,104.0,1050.0000000000005,medium,2,heavy,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,10,0,pedestrian,1,63,826.0,5.999999999999999,831.0,23.999999999999996,89.99999999999999,small,1,partial,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,11,1,car,4,64,803.0000000000001,21.0,831.0,52.0,867.9999999999965,small,1,partial,0,not_truncated,True,10,0.2546972930431366,0.6535760760307312
0000001_02999_d_0000005.jpg,12,1,car,4,65,799.9999999999999,48.99999999999999,825.0,74.0,625.0000000000031,small,1,partial,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,13,1,car,4,66,801.0000000000001,71.00000000000001,829.0,105.0,951.9999999999958,small,1,partial,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,14,3,truck,6,76,701.0,344.0,802.0,405.99999999999994,6261.9999999999945,medium,1,partial,0,not_truncated,False,,,
0000001_02999_d_0000005.jpg,15,1,car,4,77,752.0,324.0,826.0,376.0,3848.0,medium,1,partial,0,not_truncated,True,4,0.838869035243988,0.8995424509048462
