image_name,true_index,true_class_id,true_class_name,pred_index,pred_class_id,pred_class_name,confidence,iou
0000001_02999_d_0000005.jpg,14,3,truck,5,1,car,0.6489782333374023,0.8942665457725525
0000001_02999_d_0000005.jpg,19,2,van,11,3,truck,0.25403663516044617,0.7719581127166748
0000001_02999_d_0000005.jpg,17,2,van,6,1,car,0.6040839552879333,0.7279267907142639
0000001_05249_d_0000009.jpg,2,1,car,25,2,van,0.6861951351165771,0.9199225902557373
0000001_05249_d_0000009.jpg,58,2,van,45,1,car,0.5013406872749329,0.8035650849342346
0000026_04978_d_0000034.jpg,24,3,truck,15,1,car,0.7274467349052429,0.9384840130805969
0000103_02964_d_0000030.jpg,3,3,truck,1,4,bus,0.39427775144577026,0.9293838143348694
0000103_02964_d_0000030.jpg,1,2,van,0,4,bus,0.5694876909255981,0.8860871195793152
0000116_00351_d_0000083.jpg,7,2,van,17,1,car,0.3547016978263855,0.8640320897102356
0000117_00112_d_0000087.jpg,5,2,van,12,1,car,0.5283586978912354,0.8358281254768372
0000154_00401_d_0000001.jpg,5,3,truck,5,1,car,0.5936641693115234,0.834809422492981
0000154_00401_d_0000001.jpg,10,3,truck,8,1,car,0.3262559473514557,0.6709702610969543
0000154_02001_d_0000001.jpg,4,2,van,5,1,car,0.8267334699630737,0.7874113917350769
0000155_01201_d_0000001.jpg,14,2,van,4,1,car,0.7093868851661682,0.8869766592979431
0000162_00801_d_0000001.jpg,4,2,van,8,1,car,0.4642825126647949,0.7992197871208191
0000162_00801_d_0000001.jpg,9,2,van,6,3,truck,0.5735844969749451,0.678905189037323
0000194_00399_d_0000121.jpg,5,2,van,7,1,car,0.6829830408096313,0.9489294290542603
0000194_00399_d_0000121.jpg,31,2,van,16,1,car,0.41340893507003784,0.8965131044387817
0000194_00399_d_0000121.jpg,6,2,van,2,1,car,0.8647499680519104,0.8946510553359985
0000194_00399_d_0000121.jpg,12,2,van,13,1,car,0.5648452043533325,0.8731987476348877
0000194_00399_d_0000121.jpg,16,2,van,18,1,car,0.4071507453918457,0.7979211211204529
0000194_00399_d_0000121.jpg,24,2,van,5,1,car,0.7353582382202148,0.7551366090774536
0000194_00399_d_0000121.jpg,27,2,van,26,1,car,0.29560211300849915,0.6430681943893433
0000213_03478_d_0000242.jpg,9,2,van,15,1,car,0.7639172077178955,0.8816797733306885
0000213_03478_d_0000242.jpg,5,2,van,17,1,car,0.7305971384048462,0.8197616934776306
0000213_03478_d_0000242.jpg,47,2,van,34,1,car,0.38728639483451843,0.810700535774231
0000213_03478_d_0000242.jpg,43,3,truck,36,1,car,0.3487934172153473,0.5875763297080994
0000213_05340_d_0000246.jpg,1,2,van,11,1,car,0.8485323786735535,0.8752893805503845
0000213_05340_d_0000246.jpg,33,3,truck,29,2,van,0.590469479560852,0.8615952730178833
0000213_05340_d_0000246.jpg,2,2,van,23,1,car,0.6335009336471558,0.6618207693099976
0000215_00909_d_0000258.jpg,42,2,van,17,1,car,0.7895894646644592,0.9702269434928894
0000215_00909_d_0000258.jpg,25,2,van,4,1,car,0.9121048450469971,0.888455867767334
0000215_00909_d_0000258.jpg,26,2,van,16,1,car,0.7911836504936218,0.8651319742202759
0000215_02932_d_0000263.jpg,0,1,car,17,2,van,0.6735644340515137,0.9459227323532104
0000215_02932_d_0000263.jpg,36,1,car,33,2,van,0.3063355088233948,0.8918954730033875
0000215_02932_d_0000263.jpg,35,1,car,20,2,van,0.6521029472351074,0.8741006255149841
0000215_02932_d_0000263.jpg,6,1,car,16,3,truck,0.6761868000030518,0.7559464573860168
0000215_02932_d_0000263.jpg,38,2,van,21,1,car,0.6387041211128235,0.6641406416893005
